Consulta|dia_semana|semana_del_mes|mes|cuatrimestre|anio|hora_discretizada|dni_discretizado|legajo_discretizado|posee_legajo|posee_telefono|carrera_valor|proveedor_correo|Clase
hola buenos días, me olvide mi clave de ingreso para inscribirme. como hago para recuperarlo ?   |0|4|2|1|2019|0|5|2|1|1|52|gmail|Problemas con la Clave
buenas tardes      necesitaria obtener una nueva clave para poder ingresar a la pagina de la universidad.                             gracias.  |0|1|7|1|2016|2|5|2|1|1|54|gmail|Problemas con la Clave
hola, me olvide el numero de contraseña de mi cuenta. quisiera una nueva contraseña |4|1|8|2|2017|1|3|1|1|1|3|gmail|Problemas con la Clave
no recuerdo mi contraseña |2|3|2|1|2017|1|4|2|1|1|3|outlook|Problemas con la Clave
hola, necesitaría que me envíen mi contraseña para ingresar para inscripciones, etc.  que la olvidé al correo eléctronico que escribí arriba, porque creo que me la enviaron a otro correo eléctronico que ya no tengo. disculpas por la molestia, gracias |3|1|10|2|2015|2|1|1|1|1|8|yahoo|Problemas con la Clave
renovar contraseña |1|4|11|2|2017|0|1|2|1|1|54|yahoo|Problemas con la Clave
olvide mi clave |2|3|5|1|2017|2|2|3|1|1|7|yahoo|Problemas con la Clave
clave |1|2|7|1|2016|0|2|1|1|1|2|hotmail|Problemas con la Clave
hola, estoy necesitando ayuda para poder ingresar a mi cuenta de acceso para estudiantes. olvide la clave y ya no poseo acceso a mi email de confirmación inicial. les solicito si pueden darme alguna instrucción para poder restablecer mi contraseña. mi nuevo email es joaco.etchanique@gmail.com , soy alumno activo y necesito acceder a mi cuenta para poder inscribirme a materias. gracias. |1|4|2|1|2016|3|3|2|1|1|54|gmail|Problemas con la Clave
buenas noches, tengo problemas al iniciar sesión no recuerdo la contraseña y ademas me pide restablecer una nueva. |2|1|3|1|2018|3|4|2|1|0|3|outlook|Problemas con la Clave
hola, necesito mi clave, no puedo ingresar porque no me la acuerdo. gracias.  |1|1|8|2|2017|2|1|1|1|1|8|hotmail|Problemas con la Clave
no puedo entrar a mi perfil,podrian solucionarlo.  |6|2|5|1|2019|1|8|4|1|1|27|gmail|Problemas con la Clave
como hago para poner una nueva clave ? tengo bloqueada la anterior . gracias !!! |6|2|2|1|2018|3|1|2|1|1|5|outlook|Problemas con la Clave
necesito mi vlave |0|5|7|1|2017|2|3|3|1|1|3|hotmail|Problemas con la Clave
el sistema me pidio que cambiara el password, lo hice pero me tiro error, y ahora no me acepta el password anterior para ingresar uno nuevo. |2|1|8|2|2019|2|2|1|1|0|17|yahoo|Problemas con la Clave
buenos dias, reestablezco la clave para inscribirme en las materias y me notifica que ya fue enviada al mail, pero en el mail nuevo no tengo la clave. muchas gracias |3|2|8|2|2019|0|3|1|1|1|3|icloud|Problemas con la Clave
no puedo ingresar como usuario alumno. creo que es por problemas con la clave que debo modificar. gracias! |2|4|3|1|2016|0|1|1|1|1|29|hotmail|Problemas con la Clave
clave de acceso |2|3|7|1|2017|1|2|1|1|1|19|hotmail|Problemas con la Clave
intento renovar mi contraseña porque caduco. y me dice la clave ingresada no coincide con la actual... hace tiempo la tuve que renovar dos veces... de esas veces no recuerdo al final con cual me quede. que puedo hacer? como puedo recuperar? |3|2|8|2|2019|1|4|2|1|1|5|hotmail|Problemas con la Clave
no recuerdo mi clave actual y el sistema me dice que caduco y debo reestablecerla pero para hacerlo necesito recordarla. el problema es que no puedo. y no me pude anotar a las materias del segundo cuatrimestre 2019 |3|2|8|2|2019|1|2|4|1|1|4|gmail|Problemas con la Clave
no recuerdo la clave, para anotarme en las cursadas del año 2017. |4|4|11|2|2016|1|1|3|1|1|5|gmail|Problemas con la Clave
necesito que por favor me blanqueen la clave, porque la he olvidado.  gracias  |2|4|7|1|2019|0|1|1|1|1|29|hotmail|Problemas con la Clave
hola .. necesito ayuda olvide la clave de mi usuario  y ahora no puedo entrar a mi perfil ..  podrian mandarme la clave. por favor .   desde ya muchas gracias.. !! |0|2|2|1|2017|3|3|1|1|1|43|hotmail|Problemas con la Clave
quisiera solicitar la contraseña de mi perfil ya que no me deja acceder. gracias |0|3|11|2|2016|3|4|2|1|1|5|gmail|Problemas con la Clave
necesito una nuevaaa clave urgente gracias... por problemas de salud no puedo acercarme... a la unlu...  ojala me solucionen el problema |3|4|4|1|2018|1|6|1|1|1|5|gmail|Problemas con la Clave
hola quería solicitar una clave nueva y no puedo hacerlo!! gracias esperó respuestas!!  |3|1|4|1|2016|1|4|1|1|1|43|gmail|Problemas con la Clave
no puedo acceder a la informacion academica. no puedo ingresar mi clave ( erronea ) . como puedo hacerlo???? gracias |4|4|6|1|2016|2|1|1|1|1|3|hotmail|Problemas con la Clave
deseo restablecer mi clave |3|5|8|2|2017|1|1|1|1|1|29|hotmail|Problemas con la Clave
como solicito listado de materias con promedio para consejo escolar de mi distrito? gracias |4|1|9|2|2016|1|1|1|1|1|8|yahoo|Pedido de Certificados
buenos dias;por favor necesito saber si es factible me envien via mail certificado de materias aprobadas sin notas es para presentar en mi trabajo.soy de moreno. la empresa es sintaryc saic  aguardo rta. saludos cordiales |2|5|8|2|2018|0|1|1|1|1|3|gmail|Pedido de Certificados
estimada gente de unlu , necesitaba obtener de manera actualizada. , las materias aprobadas de la tecnicatura en trabajo social y de la licenciatura , muchas gracias. raquel cornago |4|2|3|1|2018|3|1|0|0|1|5|yahoo|Pedido de Certificados
buenas tardes, mi consulta es porque quiero solicitar mi baja a la carrera ya que no voy a seguir concurriendo parea que med en de baja de todo. hay algún paso a proceder? espeeo respuestas gracias  |3|3|3|1|2019|2|5|3|1|1|27|hotmail|Pedido de Certificados
solicito certificado de materias aprobadas |0|1|3|1|2019|2|2|1|1|1|5|hotmail|Pedido de Certificados
buenas noches! quiero acceder al porcentaje de materias aprobadas, como hago?  gracias |0|4|3|1|2017|3|4|2|1|1|43|live|Pedido de Certificados
necesito obtener el certificado de materias aprobadas. tambien conocer como es el tramite para la re inscripcion (si es posible) |1|2|5|1|2019|1|2|1|1|1|54|gmail|Pedido de Certificados
hola buenas tardes !! necesitaría el porcentaje de materias. se puede tramitar vía on line? |2|4|9|2|2017|1|3|1|1|0|43|gmail|Pedido de Certificados
hola. queria saber si puedo pedir online o si tengo que ir a la oficina de alumnos a pedir los programas firmados de las materias que tengo aprobadas. |5|2|10|2|2019|3|3|2|1|1|54|outlook|Pedido de Certificados
buen día.me dirijo a ustedes porque necesito que me den el porcentaje que tengo de materias.tanto ami como a un compañero. nos dice 56 porciento y tenemos 56.el pedido es porque lo necesitamos para trabajar .nos lo piden. mi compañero es hernán bartolone .legajo:125325 y yo soy liliana neu .legajo:125324. saludos atentamente liliana neu |4|2|8|2|2017|0|2|2|1|1|58|hotmail|Pedido de Certificados
estimados, para poder gestionar el certificado de materias rendidas por porcentaje, hay alguna posibilidad que se gestione via web como el de alumno regular? muchas gracias!  patricia  |4|3|11|2|2016|1|1|1|1|1|4|gmail|Pedido de Certificados
hola.. intente ingresar a mi situación académica y no pude. dice que ya no tengo acceso al sistema.. yo ya me recibi.. pero quiero un certicado de título en trámite.. y saber cuándo me van a dar el título.. me dijeron que era en junio.. me podrían decir cuando puedo tener esos certificados y cuando me dan el título.. y como hago para ingresar a mi situación académica.. gracias. |1|2|6|1|2016|1|4|2|1|1|43|live|Pedido de Certificados
solicito un certificado de materias aprobadas con porcentaje de la especialización de ciencias sociales con mención en historia social. para retirar en la sede de san miguel |2|3|4|1|2016|1|1|2|1|1|0|yahoo|Pedido de Certificados
solicito certificado de porcentaje de materias aprobadas. |3|3|2|1|2016|3|3|1|1|1|2|hotmail|Pedido de Certificados
necesito una copia del analitico legalizado . |3|4|9|2|2018|2|1|1|1|1|52|live|Pedido de Certificados
buenos días. necesitaría mi analítico con el porcentaje de materias, ya que quisiera inscribirme en un listado en educación y eso es lo que me piden. muchas gracias |1|4|2|1|2019|0|1|2|1|1|4|live|Pedido de Certificados
necesito solicitar analítico parcial y solicitud de materias aprobadas |2|3|3|1|2019|0|1|1|1|1|54|gmail|Pedido de Certificados
hola me podrian enviar el certificado de materias aprobadas con el porcentaje de materias aprobadas. gracias |0|4|9|2|2015|2|8|1|1|1|3|yahoo|Pedido de Certificados
necesito la certificación del programa análisis organizacional de la lic. en adm.,( 20262), para completar el pedido de equivalencias  en la univ. de gral. sarmiento, retiré el de contador, pero me falta este, quisiera saber si es factible retirarlo en san miguel, sin tener que ir a lujan, muchas gracias. |1|2|9|2|2015|2|1|1|1|1|3|hotmail|Pedido de Certificados
 queria solicitar el porcentaje de materias aprobadas para ingreso a la docencia |2|3|2|1|2016|3|2|1|1|1|5|yahoo|Pedido de Certificados
hola buenas tardes! quisiera solicitar el analítico de la carrera lic en trabajo social. como lo solicito? |4|3|8|2|2016|2|3|1|1|1|5|hotmail|Pedido de Certificados
quisiera saber cómo tengo q hacer para pedir un certificado de materias aprobadas para inscribirme en otra universidad |2|2|9|2|2017|3|4|2|1|1|27|gmail|Pedido de Certificados
porcentaje de materias aprobadas para ingreso a la docencia |1|2|8|2|2016|2|2|1|1|1|5|gmail|Pedido de Certificados
buenos días:  de ser posible estaría interesada en solicitar un certificado de materias aprobadas y el porcentaje de aprobación. |3|1|3|1|2017|0|3|1|1|1|7|uno|Pedido de Certificados
buenos días:                     necesito solicitar un certificado de asignaturas aprobadas, con aplazos incluidos, para anotarme en en un concurso de ayudante de segunda en la unlu. cómo puedo hacer ese tramite? |1|3|9|2|2017|0|1|1|1|1|4|live|Pedido de Certificados
buenos dias , necesitaria saber la cantidad de materias aprobadas y como realizar los tramites para obtener los certificados para poder presentar en otra universidad.  muchas gracias  saludos   |2|4|8|2|2018|0|2|0|0|1|3|hotmail|Pedido de Certificados
buenas tardes, mediante la presente solicito el certificado analítico de asignaturas aprobadas, la misma será presentada para tramitar el ingreso a la docencia en  la secretaria de inspección del distrito de escobar                               atte. alvez |0|1|8|2|2017|3|1|2|1|1|5|hotmail|Pedido de Certificados
necesito me realicen un analitico con % de carrera para inscripcion en asuntos docentes de mi ciudad. gracias! |1|2|8|2|2017|2|1|1|1|1|27|yahoo|Pedido de Certificados
hola, necesito un certificado donde aparezca el porcentaje de materias aprobadas. |2|4|6|1|2017|2|4|2|1|1|54|hotmail|Pedido de Certificados
necesito el certificado materias aprobadas. gracias   |0|5|7|1|2017|0|1|1|1|0|5|gmail|Pedido de Certificados
buenos dias.  quería saber como hago para tramitar la constancia de alumno regular y de materias aprobadas  o porcentaje de carrera para ser presentado como documentación para poder presentarme como profesor en escuela estatales.  muchas gracias. |2|2|10|2|2016|0|2|1|1|1|54|hotmail|Pedido de Certificados
buenas tardes!! que tramite debo realizar para  pedir porcentaje de materias aprobadas , sin aplazo para el ingreso ala docencia?   gracias..  |1|1|9|2|2016|1|1|1|1|1|5|hotmail|Pedido de Certificados
estimados, necesitaba el certificado de materias aprobadas para presentar en mi empleo. agradezco su atención. curieses leticia |0|3|3|1|2017|2|2|1|1|1|5|yahoo|Pedido de Certificados
quería consultarles si es posible obtener una constancia o papel con las notas de las materias que cursé en el año 1999 en ingeniería industrial?. es sólo a nivel informativo, ya que después de ese año, no continué. gracias! y perdonen la molestia. |1|1|6|1|2019|0|2|0|0|0|0|yahoo|Pedido de Certificados
hola, me acaban de entregar el titulo de la carrera contador publico, como hago para obtener el analitico? saludos |1|4|11|2|2018|0|4|2|1|1|54|hotmail|Pedido de Certificados
que tal...  soy egresado pero se me requiere el promedio de la carrera y noto que cuando quiero restablecer mi clave para generar una nueva y pongo mis datos al hacer click &quot; olvide mi clave &quot; me dice que soy &quot; estudiante inhabilitado &quot;   podrian solucionarlo por favor.    gracias.  |3|3|11|2|2018|0|4|2|1|1|27|hotmail|Pedido de Certificados
hola necesitaría un certificado de materias aprobadas con el porcentaje correspondiente para presentar en el consejo escolar |0|2|5|1|2017|3|2|1|1|1|5|hotmail|Pedido de Certificados
hola. quisiera obtener el certificado de materias aprobadas de la carrera trabajo social con porcentaje para inscribirme en el listado 108 b complementario en sad. desde ya muchas gracias |1|5|8|2|2017|3|2|1|1|1|5|gmail|Pedido de Certificados
necesito el porcentaje de materias aprobadas |0|2|7|1|2016|0|1|1|1|1|3|gmail|Pedido de Certificados
buenas tardes, necesito el certificado analitico de materias rendidas con porcentaje. &iexcl;gracias!!! |0|3|3|1|2017|1|2|1|1|1|8|yahoo|Pedido de Certificados
solicito certificado de materias aprobadas con porcentaje. gracias   |2|4|11|2|2016|3|1|1|1|1|5|yahoo|Pedido de Certificados
buenos dias , quisiera por favor pedir el porcentaje de materias aprobadas  pero no puedo entrar al sistema ! muchas gracias |4|4|2|1|2018|1|4|1|1|1|43|gmail|Pedido de Certificados
hola les queria pedir el certificado de porcentaje de materias, desde ya muchas gracias.  |1|4|2|1|2017|3|5|2|1|1|43|hotmail|Pedido de Certificados
necesitaría obtener el certificado de materias rendidas |0|3|12|2|2016|2|2|1|1|1|17|hotmail|Pedido de Certificados
comprobante de materias aprobadas  |2|1|4|1|2019|0|6|3|1|1|3|gmail|Pedido de Certificados
solicitar el porcentaje de materias aprobadas. cuánto tarda este trámite. gracias. |1|1|5|1|2017|3|3|1|1|1|4|hotmail|Pedido de Certificados
hola !. necesitaria un compobante de materias aprobadas para hacer el ingreso a la docencia.  gracias!!. |1|2|7|1|2017|1|1|1|1|1|41|yahoo|Pedido de Certificados
necesito el certificado de materias aprobadas de la carrera que estoy realizando, y que sea entregado en la delegacion de san fernando. muchas gracias |1|4|8|2|2016|0|4|2|1|0|15|hotmail|Pedido de Certificados
quería solicitar si es posible el analítico con el porcentaje de materias aprobadas. paso mi teléfono celular por si es necesario. 0111533708728. desde ya muchas gracias. natalia saromé. |5|4|3|1|2017|1|1|1|1|1|26|ampinformatica|Pedido de Certificados
hola, en el trabajo me piden el analitico para presentarlo, como hago para solicitarlo?. gracias. saludos. |2|4|2|1|2018|1|4|2|1|1|3|hotmail|Pedido de Certificados
estimados,   necesito si por favor me pueden enviar   el analitico correspondiente a mi carrera. intento entraar por la plataforma digital (servicios acad&egrave;mics) y me dice que ya no tengo mas la cuenta.  saludos,  manuela. |2|1|4|1|2019|3|3|1|1|1|1|gmail|Pedido de Certificados
hola te escribo porque estaria necesitando el analitico con el puntaje de mi titulo. yo me recibi en el 2015 no recuerdo mi legajo. gracias |0|1|9|2|2018|0|3|0|0|1|43|hotmail|Pedido de Certificados
buenas tardes. queria pedir certificado analítico de materias rendidas (aprobadas y desaprobadas) firmado y sellado por la universidad. con quien deberia comunicarme? gracias! |0|3|3|1|2017|3|4|1|1|1|1|live|Pedido de Certificados
me mudé por tema laboral el año pasado a entre ríos, mi consulta es si tengo posibilidad de tener un certificado analítico válido de las materias aprobadas para terminar mis estudios aquí en la uner. muchas gracias, saludos  |3|4|2|1|2017|1|1|1|1|1|54|gmail|Pedido de Certificados
buenos dias, quisiera consultar como hago para solicitar un certificado de materias aprobadas y porcentaje, para presentar en mi trabajo. muchas gracias |0|1|9|2|2017|0|4|1|1|1|16|hotmail|Pedido de Certificados
necesito un certificado analítico con promedio y porcentaje de materias aprobadas de la licenciatura para presentar en sad campana. gracias. retiro en centro regional campana |6|3|8|2|2016|3|1|1|1|1|5|gmail|Pedido de Certificados
hola, mi nombre es natalia dominguez, legajo 125413. me recibi de profesora de educacion fisica en diciembre del 2014. me entregaron el titulo en junio del 2015 pero nunca me dieron el analitico con las materias aprobadas y las notas. como lo consigo? desde ya muchas gracias, aguardo respuesta. |1|2|12|2|2016|3|4|2|1|1|43|hotmail|Pedido de Certificados
hola buenos dias, estoy en condicion de libre en la universidad porque ya hace un par de años que no curso. me contacto con ustedes porque necesito el porcentaje de materias aprobadas de la carrera que estaba haciendo (profesorado en educación fisica) quedo a la espera de la información muchas gracias.... rocio  |0|4|3|1|2019|0|3|1|1|1|43|gmail|Pedido de Certificados
solicito se me envie porcentaje de materias. |3|2|8|2|2016|1|1|4|1|0|5|hotmail|Pedido de Certificados
necesito un certificado de materias aprobado , taller de escritura. no recuerdo el número de mi legajo , para ser presentado en la unsam , tengo plazo hasta el 22 del corriente. desde ya muchas gracias !! martin querol aubone lic administracion  |1|2|12|2|2016|3|3|0|0|1|3|yahoo|Pedido de Certificados
buenos días, necesito un certificado con porcentaje de materias aprobadas, quisiera saber si puedo hacer el tramite vía web o si o si tengo que acercarme a la oficina?  muchas gracias |4|1|3|1|2016|0|4|1|1|0|8|hotmail|Pedido de Certificados
buenos d&igrave;as, necesito certificado anal&igrave;tico de  materias aprobadas con porcentaje.  |4|2|4|1|2017|1|1|2|1|1|5|hotmail|Pedido de Certificados
buenas noches. necesito un certificado analítico de materias aprobadas. como debo hacer para solicitarlo; debo ir personalmente, me lo entregan en el momento? la consulta es porque no doy de la localidad y debo pedir d&igrave;a en el trabajo para ir. desde ya muchas gracias. saludos. |0|3|9|2|2018|3|2|1|1|1|3|hotmail|Pedido de Certificados
hola quería solicitar mi porcentaje de materias por favor gracias  |0|5|7|1|2017|0|4|2|1|1|43|hotmail|Pedido de Certificados
quisiera saber como puedo obtener mi analitico para poder presentar en el trabajo que me recibi de lic en adm de empresa y de técnica.  gracias |2|3|5|1|2017|2|4|1|1|1|3|gmail|Pedido de Certificados
buenas tardes quería saber para pedir un certificado analítico a la fecha, cuanto demoraba y si por este medio se lo puede pedir saludos roxana |3|2|8|2|2017|2|2|1|1|1|3|hotmail|Pedido de Certificados
hola queria saber como es para pedir el certificado del porcentaje de materias aprobadas. porque en la parte  de certificados lo unico que aparece es el certificado de estudiante regular. |6|1|3|1|2017|3|4|2|1|1|5|hotmail|Pedido de Certificados
al ingresar me sale un cartel que dice: el alumno no cumple con las condiciones para ingresar podrían informarme como inscribirme a las materias. desde ya muchas gracias espero su pronta respuesta. |2|1|3|1|2017|3|3|2|1|0|3|hotmail|Inscripción a Cursadas
quería saber porque no aparezco para anotarme en el taller si yo ya estoy inscripta en la universidad, muchas gracias. |2|3|12|2|2015|3|6|0|0|1|54|gmail|Inscripción a Cursadas
buenos días, quería consultar cuando me puedo anotar para el taller de febrero, yo estoy por reintegrarme a la universidad para licenciatura en administración me dijeron que tenia q hacer un taller, ya entregue toda la documentación que tenia que presentar y el formulario de reintegro. quería saber hasta cuando me puedo anotar y como lo puedo hacer via internet y si ya esta disponible mi usuario de legajo. |3|4|10|2|2018|1|4|2|1|1|3|hotmail|Inscripción a Cursadas
a quien corresponda  la consulta es como debo inscribirme en una materia optativa? lo puedo hacer por internet?  me interesa cursar diseño de investigación educativa codigo 30163  agradecere vuestra respuesta  silvia mujica |3|2|8|2|2016|2|1|1|1|1|4|gmail|Inscripción a Cursadas
hola disculpe las molestias quisiera saber si aun me puedo inscribir a una materia todavía?  de prácticas integradas  |0|3|9|2|2018|3|5|2|1|1|52|outlook|Inscripción a Cursadas
quiero preguntar sobré mi inscripción. |0|1|6|1|2017|1|6|1|1|1|3|gmail|Inscripción a Cursadas
estimados, el motivo de mi email es si posible poder saber cuales serían los horarios de las materias, de análisis matemático iii, química general, estadística, principio de la economía , y planificación de producción, dado que me lo piden en mi trabajo para poder organizarme en los horarios para el próximo cuatrimestre. desde ya muchas gracias. |6|1|7|1|2018|2|2|1|1|1|25|hotmail|Inscripción a Cursadas
&iquest;cómo me inscribo en las materias de una carrera? |5|4|2|1|2019|1|1|1|1|1|4|gmail|Inscripción a Cursadas
no puedo anotarme a las materias  |6|2|8|2|2018|3|6|4|1|1|43|gmail|Inscripción a Cursadas
buenas tardes ! estuve intentando inscribirme a las cursadas y no pude, el día de hoy me acerque a la facu para poder consultar que sucedía y me explicaron que había quedado libre, solicite la reincorporación pero tarda 24hs y el limite de anotarse en las materias es hasta hoy . como puedo hacer ? gracias  |3|1|3|1|2019|1|6|4|1|1|54|live|Inscripción a Cursadas
buenas noches hoy estuve en la unlu sede san miguel y alumnas que cursan  me dijeron que me podia inscribir en el taller abierto codigo 30610 el cual no pude hacerlo por la pagina le pido ser inscripta en la misma los lunes para cursarla desde ya muchas gracias  |3|4|8|2|2015|3|1|1|1|1|33|hotmail|Inscripción a Cursadas
hola yo realize la inscripcion de la asignatura algebra y logica computacional y no fue procesada  |3|4|7|1|2017|3|8|3|1|1|17|gmail|Inscripción a Cursadas
buenas tardes, quisiera saber a partir de que hora me puedo inscribir a las materias para el 2do cuatrimestre o si tengo que ir presencialmente ya que soy aspirante. no quisiera perder las fechas, ni los horarios que crei convenientes. desde ya muchas gracias |0|1|8|2|2019|1|5|4|1|1|54|gmail|Inscripción a Cursadas
quiero anotarme a las materias como hago?  |2|2|2|1|2018|1|2|0|0|1|52|gmail|Inscripción a Cursadas
hola, me inscribí y no recuero bien en que materias ya que no las anote, me podran informar cuales son y con cual comienzo el dia lunes 7/3 o en que parte de la pagina lo puedo ver. muchas gracias. |0|5|2|1|2016|2|2|3|1|1|5|hotmail|Inscripción a Cursadas
buenas noches, queria saber como anotarme para el taller de resolucion de problemas, espero prontas respuestas. gracias jesica |2|5|5|1|2017|3|6|3|1|1|3|gmail|Inscripción a Cursadas
hola, acabo de confirmar que aceptaron mi reincorporacion y el reconocimiento de las materias aprobadas y que la misma tiene validez hasta febrero de 2017, por favor, necesito orientacion para comenzar el proximo cuatrimestre ya que este no me inscribi a las cursadas, desde ya muchas gracias  |6|3|11|2|2016|2|1|1|1|1|3|msn|Inscripción a Cursadas
buenas tardes, quería consultar sobre la inscripción a las materias del segundo cuatrimestre, que en la página no me aparece nada y quería preguntar si tengo que ir hasta al establecimiento para anotarme o esperar hasta que me aparezca |0|1|8|2|2019|2|6|0|0|0|17|gmail|Inscripción a Cursadas
hola quisiera anotarme en las materias pero no aparezco en el sistema  |3|1|2|1|2018|1|5|3|1|1|43|gmail|Inscripción a Cursadas
buenos días,   necesitaba hacer una consulta. yo estoy inscripto en la carrera de contador público en la sede regional san miguel y mi duda es sobre cómo tengo que hacer para anotarme a las materias que voy a cursar una vez terminado en curso de ingreso que comienzo mañana. porque todavía no tengo número de legajo ni tampoco contraseña. agradecería muchísimo su respuestas ya que quiero finalizar con eso  muchas gracias federico |3|1|2|1|2018|0|5|0|0|1|54|gmail|Inscripción a Cursadas
cuando es la inscripción a las cursadas de mi carrera ?  ya que entro y me dice no esta vigente  |3|3|2|1|2019|1|6|2|1|1|17|hotmail|Inscripción a Cursadas
hola buenas noches, quería preguntar como me puedo anotar en las materias de mi carrera , ya que no pude acceder a internet del 8 al 12 de agosto. y necesito inscribirme por favor...  espero su respuesta . |6|2|8|2|2016|3|5|2|1|1|54|hotmail|Inscripción a Cursadas
hola. no puedo ingresar para inscribirme. como puedo hacer. |0|2|8|2|2016|3|3|3|1|1|54|hotmail|Inscripción a Cursadas
buenas tardes, quiero acceder a la inscripción de asignaturas del 1er cuatrimestre, y me indica que ingrese el número de legajo, pero no lo tengo, como lo obtengo? |1|1|2|1|2018|0|4|0|0|0|5|gmail|Inscripción a Cursadas
tengo una consulta acerca de la asignatura de código 20038, la cual según el plan de estudios de mi carrera debo cursar el 1er cuatrimestre, pero a la hora de solicitar cursarla no aparece como una opción posible. por esta razón quiero saber de que forma solicitarlo o si en realidad corresponde a otro cuatrimestre. gracias. |2|2|2|1|2016|2|6|3|1|1|18|hotmail|Inscripción a Cursadas
necesitaría saber como tengo que hacer para anotarme el siguiente año (2016) en la sede de san miguel para seguir cursando la licenciatura de geografía. tengo que solicitar el pase desde lujan? o directamente anotarme en san miguel? se puede hacer via web? |4|1|12|2|2015|2|1|2|1|1|10|hotmail|Inscripción a Cursadas
hola! quiero completar on line la inscripcion a la cursada del primer cuatrimestre. me inscribiré solo a dos materias, pero no me deja seguir el sistema en tanto no complete todos los cuadros de las asignaturas. me podrian ayudar con este punto. gracias! |1|3|2|1|2017|0|2|0|0|1|4|yahoo|Inscripción a Cursadas
buenas tardes !! quisiera saber si es valido anotarme en dos o tres materias solamente o es obligacion anotarme en todas la que figuran para el primer cuatrimestre ? ( no la de taller )desde ya agradesco cualquier información  |4|4|2|1|2018|1|8|0|0|1|5|hotmail|Inscripción a Cursadas
no me puedo inscribir para rendir las materias  |3|2|2|1|2016|2|5|0|0|1|2|outlook|Inscripción a Cursadas
por razones laborales y personales no pude inscribirme en tiempo en la carrera. necesitaria no perder la solicitud de reinscripción, ya que a su vez perdí la regularidad. muchas gracias, estoy a su disposición.                       jésica cudugnello |4|1|3|1|2017|1|2|2|1|1|4|hotmail|Inscripción a Cursadas
hola disculpen me anote en turnos que no puedo asistir , yo solo puedo asistir  la mañana, cursar materias , porfa ayuda como hago para anotarme en turno mañana si no m aparece la opcion |4|4|2|1|2019|1|2|0|0|1|4|gmail|Inscripción a Cursadas
buen dia, quería consultar por inscripción para el 2do cuatrimestre, desde ya muchas gracias. alejandra |0|4|6|1|2017|0|2|0|0|0|1|baires-sa|Inscripción a Cursadas
cuando me dispuse a realizar la preinscripción a materias, me encontré con que materias que nos habían dicho que eran teóricas tienen su parte práctica o algo por el estilo. podrían aclararme esta duda? ya que hace complicado elegir los horarios. muchas gracias, joaquín. |0|2|2|1|2018|0|7|0|0|0|43|gmail|Inscripción a Cursadas
buenos días. el día viernes me acerque a la sede de san miguel para realizar el trámite de reincorporación y me dijieron que hoy me fijara en la pagina . pero sigo sin poder ingresar. puse mi legajo y la clave que me generaron ahí. no se si tendré que esperar unos días más? gracias  |4|1|3|1|2017|0|2|1|1|1|5|hotmail|Inscripción a Cursadas
hola,  el cuatrimestre anterior por inconveniente familiar debí abandonar. ingreso a la página,  deseo cursar aunque sea ingles 1, pero no me figura ninguna opción de cursada.  que puedo hacer&iquest; no quiero perder la regularidad....  muchas gracias |1|1|8|2|2017|3|1|1|1|1|4|gmail|Inscripción a Cursadas
buenos dias, queria saber mi situación académica, si estoy libre o regular en la carrera. mi otra consulta se debe al hecho que intenté inscribirme a la cursada de ideas políticas 20690 y no me figura en la nómina de materias para cursar. desde ya muchas gracias |4|1|3|1|2016|1|2|1|1|1|8|hotmail|Inscripción a Cursadas
quisiera saber porque no tengo el numero de legajo? lo necesitaria para poder anotarme en los horarios de las materias. muchas gracias |6|1|2|1|2016|3|5|0|0|0|17|gmail|Inscripción a Cursadas
hola como hago para anotarme en las materias de manera web ? muchas gracias |1|2|8|2|2016|1|4|2|1|1|4|hotmail|Inscripción a Cursadas
hola quería saber como hacia para anotarme a las materias, espero su respuesta gracias  |0|1|2|1|2018|1|6|0|0|1|43|gmai|Inscripción a Cursadas
buenos dias como hago para poder inscribirme en materias  |0|3|2|1|2018|1|4|1|1|1|14|hotmail|Inscripción a Cursadas
hola,no puedo anotarme a las materias del primer cuatrimestre y no tengo el numero de legajo si me pueden ayudar gracias. |2|3|2|1|2018|1|2|0|0|1|48|gmail|Inscripción a Cursadas
quiero hacer la inscripción a cursadas y me dice que no tengo inscripciones pendientes y no se como hacer  |5|2|2|1|2018|3|7|0|0|1|43|gmail|Inscripción a Cursadas
hola buenas tardes como hago para inscribirme por via web para los talleres |2|3|12|2|2018|2|8|0|0|1|8|gmail|Inscripción a Cursadas
hola, me inscribí en la cede central el 18 de diciembre. quiero ingresar al perfil aspirante con mi numero de documento (para inscribirme al taller) y no me deja. quería saber por que no puedo entrar, ya que la inscripción a talleres cierra en unos días. |2|4|12|2|2018|1|7|0|0|1|3|gmail|Inscripción a Cursadas
no me llega al email del perfil de aspirante para anotarse en las materias. |1|1|2|1|2018|2|7|1|1|1|43|gmail|Inscripción a Cursadas
quería saber como tengo que hacer para poder inscribirme a las materias que no me aparecen en la pagina.tengo que ir si o si hasta la universidad para inscribirme o como hago porque las materias que tendría que cursar ahora no me aparesen me aparesen otras. |0|2|8|2|2016|2|8|2|1|1|3|outlook|Inscripción a Cursadas
no me envia el mail para poder seleccionar los dias y horarios de las asignaturas |1|1|2|1|2018|0|6|0|0|1|4|hotmail|Inscripción a Cursadas
